"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"N","antiX","#443300","MEPIS","2007.8.22",,,"https://distroware.gitlab.io/os/Linux/a/antix",,,,,,,,,
"N","DRBL","#333","Debian","2004.4.1",,,"https://distroware.gitlab.io/os/Linux/d/drbl",,,,,,,,,
"N","Clonezilla Live","#f79f5d","Debian","2004.5",,,"https://distroware.gitlab.io/os/Linux/c/clonezilla",,,,,,,,,
"N","Hiweed Linux","#15A7E5","Debian","2004.7.22","2006.09.25",,"https://distroware.gitlab.io/os/Linux/d/deepin",,,,,,,,,
"N","grml","#e7c71c","Debian","2004.8.31",,,"https://distroware.gitlab.io/os/Linux/g/grml",,,,,,,,,
"N","Ubuntu","#e95420","Debian","2004.10.20",,,"https://distroware.gitlab.io/os/Linux/u/ubuntu",,,,,,,,,
"N","Kubuntu","#4f5695","Ubuntu","2005.4.8",,,"https://distroware.gitlab.io/os/Linux/k/kubuntu",,,,,,,,,
"N","Netrunner","#5997de","Kubuntu","2010.3.18","2016.10.23",,"https://distroware.gitlab.io/os/Linux/n/netrunner",,,,,,,,,
"N","Edubuntu","#a12726","Ubuntu","2005.10.13","2019.04.30",,"https://distroware.gitlab.io/os/Linux/e/edubuntu",,,,,,,,,
"N","Xubuntu","#53525f","Ubuntu","2006.6.1",,,"https://distroware.gitlab.io/os/Linux/x/xubuntu",,,,,,,,,
"N","Runtu","#3c72ae","Xubuntu","2008.10.1",,,"https://distroware.gitlab.io/os/Linux/r/runtu",,,,,,,,,
"N","Voyager","#f55a1b","Xubuntu","2012.5.3",,,"https://distroware.gitlab.io/os/Linux/v/voyager",,,,,,,,,
"N","Linux Mint","#5fec52","Ubuntu","2006.8.27",,,"https://distroware.gitlab.io/os/Linux/l/linux-mint",,,,,,,,,
"N","Hiweed Linux ","#15A7E5","Ubuntu","2006.09.25","2015.12.30",,"https://distroware.gitlab.io/os/Linux/d/deepin","Linux Deepin","2009.12.02","https://distroware.gitlab.io/os/Linux/d/deepin","Deepin","2014.04.15","https://distroware.gitlab.io/os/Linux/d/deepin","deepin","2015.04.28","https://distroware.gitlab.io/os/Linux/d/deepin"
"N","gNewSense","#c1b384","Ubuntu","2006.11.2",,,"https://distroware.gitlab.io/os/Linux/g/gnewsense",,,,,,,,,
"N","MAX ","#477dbe","Ubuntu","2007.03",,,"https://distroware.gitlab.io/os/Linux/m/max",,,,,,,,,
"N","Ubuntu Studio","#0099ee","Ubuntu","2007.5.10",,,"https://distroware.gitlab.io/os/Linux/u/ubuntu-studio",,,,,,,,,
"N","Linux Lite","#e8e8e8","Ubuntu","2012.10.26",,,"https://distroware.gitlab.io/os/Linux/l/linux-lite",,,,,,,,,
"N","CrunchBang","#000","Ubuntu","2008.1.22",,,"https://distroware.gitlab.io/os/Linux/c/crunchbang","Bunsen Labs","2015.02.16","https://distroware.gitlab.io/os/Linux/b/bunsen-labs",,,,,,
"N","CrunchBang plus plus","#333","CrunchBang","2015.2.15",,,"https://distroware.gitlab.io/os/Linux/c/crunchbang++",,,,,,,,,
"N","Ultimate Edition","#999999","Ubuntu","2008.5",,,"https://distroware.gitlab.io/os/Linux/u/ultimate-edition",,,,,,,,,
"N","Zorin OS","#055AA0","Ubuntu","2008.10",,,"https://distroware.gitlab.io/os/Linux/z/zorin-os",,,,,,,,,
"N","eBox","#f49d00","Ubuntu","2008.10.18",,,"https://distroware.gitlab.io/os/Linux/z/zentyal","Zentyal","2010.9.1","https://distroware.gitlab.io/os/Linux/z/zentyal",,,,,,
"N","CAINE","#f3a424","Ubuntu","2008.10.25",,,"https://distroware.gitlab.io/os/Linux/c/caine-live",,,,,,,,,
"N","AV","#334466","Ubuntu","2009.2","2020.11.25",,"https://distroware.gitlab.io/os/Linux/a/av-linux","AV Linux","2009.5.8","https://distroware.gitlab.io/os/Linux/a/av-linux",,,,,,
"N","Lubuntu","#0169c9","Ubuntu","2009.4.13",,,"https://distroware.gitlab.io/os/Linux/l/lubuntu",,,,,,,,,
"N","Peppermint OS","#ae000e","Lubuntu","2010.4.22",,,"https://distroware.gitlab.io/os/Linux/p/peppermint-os",,,,,,,,,
"N","OSGeo-Live","#49a942","Lubuntu","2012.03.01",,,"https://distroware.gitlab.io/os/Linux/o/osgeo-live",,,,,,,,,
"N","LXLE","#474747","Lubuntu","2013.8.19",,,"https://distroware.gitlab.io/os/Linux/l/lxle",,,,,,,,,
"N","Backtrack ","#557c94","Ubuntu","2010.01.9","2013.3.14",,"https://distroware.gitlab.io/os/Linux/b/backtrack",,,,,,,,,
"N","BackBox","#2e2e2e","Ubuntu","2010.9.9",,,"https://distroware.gitlab.io/os/Linux/b/backbox",,,,,,,,,
"N","Ubuntu GNOME","#0087ed","Ubuntu","2012.10","2017.10.10",,"https://distroware.gitlab.io/os/Linux/u/ubuntu-gnome",,,,,,,,,
"N","Bodhi","#5b860a","Ubuntu","2010.11.17",,,"https://distroware.gitlab.io/os/Linux/b/bodhi",,,,,,,,,
"N","elementary OS","#47A8E9","Ubuntu","2011.3.31",,,"https://distroware.gitlab.io/os/Linux/e/elementary-os",,,,,,,,,
"N","Pear OS","#777777","Ubuntu","2011.8.15","2014.01.20",,"http://www.pearlinux.fr/",,,,,,,,,
"N","Linkat  ","#fcbe32","Ubuntu","2011.11.25",,,"https://distroware.gitlab.io/os/Linux/l/linkat",,,,,,,,,
"N","Descent OS","#0066FF","Ubuntu","2011.12.13","2017.02.20",,"https://distroware.gitlab.io/os/Linux/descent-os",,,,,,,,,
"N","TorBOX","#000","Ubuntu","2012.2.29",,,"https://distroware.gitlab.io/os/Linux/w/whonix","Whonix","2012.9","https://distroware.gitlab.io/os/Linux/w/whonix",,,,,,
"N","Ubuntu-Pack","#83c225","Ubuntu","2012.6.24",,,"https://distroware.gitlab.io/os/Linux/u/ubuntu-pack",,,,,,,,,
"N","Santoku","#444254","Ubuntu","2012.7.25",,,"https://distroware.gitlab.io/os/Linux/s/santoku",,,,,,,,,
"N","Ubuntu Kylin","#347DC4","Ubuntu","2013.4.26",,,"https://distroware.gitlab.io/os/Linux/u/ubuntu-kylin",,,,,,,,,
"N","Ubuntu Touch","#e95420","Ubuntu","2013.10.17",,,"https://distroware.gitlab.io/os/Linux/u/ubuntu-touch",,,,,,,,,
"N","Ubuntu MATE","#93ae67","Ubuntu","2015.2",,,"https://distroware.gitlab.io/os/Linux/u/ubuntu-mate",,,,,,,,,
"N","Snakeoil OS","#FFCC00","Ubuntu","2016.02.29",,,"https://distroware.gitlab.io/os/Linux/s/snakeoil-os",,,,,,,,,
"N","KDE Neon","#0AB23B","Ubuntu","2016.04.20",,,"https://distroware.gitlab.io/os/Linux/k/kde-neon",,,,,,,,,
